지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%)
98,동두천,2025-06-20 01:00,24.8,.4,1.9,90
98,동두천,2025-06-20 02:00,21.9,16.2,.4,100
98,동두천,2025-06-20 03:00,22.7,.5,.7,100
98,동두천,2025-06-20 04:00,23.2,1.2,2.2,100
98,동두천,2025-06-20 05:00,23.2,8.4,2.3,100
98,동두천,2025-06-20 06:00,22.2,49.1,2.6,100
98,동두천,2025-06-20 07:00,22.9,1.9,1.9,100
98,동두천,2025-06-20 08:00,23.5,9.9,3.1,100
98,동두천,2025-06-20 09:00,23.4,.8,2,100
98,동두천,2025-06-20 10:00,23.6,1.1,3.4,100
98,동두천,2025-06-20 11:00,23.6,2.9,4,100
98,동두천,2025-06-20 12:00,23.9,1.9,3.1,100
98,동두천,2025-06-20 13:00,24.2,.7,3.8,99
98,동두천,2025-06-20 14:00,24.1,.4,3.2,98
98,동두천,2025-06-20 15:00,23.5,5.6,3.9,100
98,동두천,2025-06-20 16:00,23.2,5.2,2.2,100
98,동두천,2025-06-20 17:00,22.8,3.1,5.9,99
98,동두천,2025-06-20 18:00,22.6,2.7,3.6,100
98,동두천,2025-06-20 19:00,22.4,1.7,3.6,100
98,동두천,2025-06-20 20:00,22.1,1.7,2.6,100
98,동두천,2025-06-20 21:00,21.7,.6,3.1,100
98,동두천,2025-06-20 22:00,21.5,.3,2.9,100
98,동두천,2025-06-20 23:00,21.4,.4,1.7,100
98,동두천,2025-06-21 00:00,21.2,.3,1.4,100
99,파주,2025-06-20 01:00,22.5,23.2,5,99
99,파주,2025-06-20 02:00,22.6,2.1,1.9,100
99,파주,2025-06-20 03:00,22.8,.7,.9,100
99,파주,2025-06-20 04:00,23.5,5.4,2.2,100
99,파주,2025-06-20 05:00,23,23.8,1.7,100
99,파주,2025-06-20 06:00,22.7,4.9,1.6,100
99,파주,2025-06-20 07:00,23.2,1.3,2.1,100
99,파주,2025-06-20 08:00,23.5,5.1,3.3,100
99,파주,2025-06-20 09:00,23.6,1.4,2.7,99
99,파주,2025-06-20 10:00,23.8,1.7,3.6,99
99,파주,2025-06-20 11:00,23.8,2.7,5.4,98
99,파주,2025-06-20 12:00,24.1,1.3,3.4,98
99,파주,2025-06-20 13:00,24.3,.3,3.6,96
99,파주,2025-06-20 14:00,23.6,15.5,3.1,99
99,파주,2025-06-20 15:00,23.1,3.7,4.6,98
99,파주,2025-06-20 16:00,22.7,3.7,4.8,99
99,파주,2025-06-20 17:00,22.2,2.5,5.5,99
99,파주,2025-06-20 18:00,22.2,2.7,3.7,99
99,파주,2025-06-20 19:00,21.8,.4,3.7,99
99,파주,2025-06-20 20:00,21.6,.2,2.5,100
99,파주,2025-06-20 21:00,21.1,.2,3.2,100
99,파주,2025-06-20 22:00,20.8,,2.4,100
99,파주,2025-06-20 23:00,21,.3,1.9,100
99,파주,2025-06-21 00:00,20.7,.6,1.3,100
108,서울,2025-06-20 01:00,27.8,0,3.9,74
108,서울,2025-06-20 02:00,25.8,2.8,2.2,84
108,서울,2025-06-20 03:00,25.5,.2,2.2,87
108,서울,2025-06-20 04:00,25.1,1.1,3,90
108,서울,2025-06-20 05:00,24.8,1.5,2.6,90
108,서울,2025-06-20 06:00,24.5,8,3.2,94
108,서울,2025-06-20 07:00,24.4,7,3.3,95
108,서울,2025-06-20 08:00,24.6,1.7,4.3,92
108,서울,2025-06-20 09:00,24.7,.6,2.7,93
108,서울,2025-06-20 10:00,24.9,.7,2.6,92
108,서울,2025-06-20 11:00,24.8,2.1,2.7,93
108,서울,2025-06-20 12:00,25,1.4,4.7,90
108,서울,2025-06-20 13:00,25.5,0,3.5,86
108,서울,2025-06-20 14:00,25.2,.9,3.3,89
108,서울,2025-06-20 15:00,24.7,4.8,5.8,93
108,서울,2025-06-20 16:00,24.3,4.3,5.7,94
108,서울,2025-06-20 17:00,23.6,3.9,7.7,94
108,서울,2025-06-20 18:00,23.4,5.1,6.5,96
108,서울,2025-06-20 19:00,23.4,1.2,5.3,96
108,서울,2025-06-20 20:00,22.9,.8,5.8,95
108,서울,2025-06-20 21:00,22.7,.6,4.2,98
108,서울,2025-06-20 22:00,22.5,1.6,4.2,98
108,서울,2025-06-20 23:00,22.3,.4,3.4,97
108,서울,2025-06-21 00:00,22.2,.4,3.2,96
119,수원,2025-06-20 01:00,25.1,.7,3,85
119,수원,2025-06-20 02:00,24.6,.6,2,88
119,수원,2025-06-20 03:00,24.6,.2,2.1,90
119,수원,2025-06-20 04:00,24,.6,3.2,92
119,수원,2025-06-20 05:00,24.2,.7,4.2,90
